age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference,age_group,income_band,total_spend,online_spend_ratio,digital_score
56,221111,6.5,12,0.7,1,6,16,16,28551,144092,2,3,2,6,7,7,1,3,6,5,2,Other,Tier 3,Store,51+,High,172643,0.165,20.0
69,96029,8.2,13,2.7,6,9,14,1,124056,28421,4,7,4,1,3,4,9,6,8,1,7,Male,Tier 3,Hybrid,51+,Medium,152477,0.814,31.4
46,19055,6.4,4,2.1,10,8,2,0,81939,128229,9,4,5,3,4,10,1,1,3,3,3,Female,Tier 3,Store,36-50,Low,210168,0.39,30.8
32,53170,6.4,11,0.7,2,10,20,3,35901,134650,7,0,3,3,10,2,4,8,2,6,6,Female,Tier 1,Store,26-35,Medium,170551,0.211,24.8
60,244016,6.0,5,0.7,2,5,18,16,131971,34122,5,9,2,4,2,5,8,9,7,1,6,Male,Tier 3,Store,51+,High,166093,0.795,19.0
25,114976,7.6,6,4.0,1,7,31,6,92423,123383,2,8,3,5,10,6,6,3,4,4,8,Other,Tier 2,Store,18-25,Medium,215806,0.428,23.2
78,43251,4.9,6,3.2,1,8,10,4,26398,18035,9,5,5,5,2,8,9,4,9,9,8,Other,Tier 2,Hybrid,51+,Low,44433,0.594,18.8
38,150604,3.1,10,3.7,4,9,17,7,131561,33308,2,1,2,10,10,8,8,9,6,1,4,Other,Tier 2,Store,36-50,High,164869,0.798,19.2
56,150996,7.3,2,1.1,5,3,28,0,123438,97145,7,6,4,5,2,9,8,2,6,6,4,Female,Tier 3,Store,51+,High,220583,0.56,22.6
75,63037,6.8,4,2.9,4,8,2,9,74311,79808,10,0,2,2,9,6,9,1,5,1,7,Female,Tier 3,Store,51+,Medium,154119,0.482,25.6
36,224154,8.6,12,5.4,6,3,49,3,56198,140722,9,0,7,10,10,9,9,10,8,10,5,Male,Tier 3,Store,36-50,High,196920,0.285,26.2
40,107115,1.1,9,2.2,8,1,3,13,40543,46725,4,8,6,9,6,3,8,2,7,2,5,Female,Tier 3,Store,36-50,Medium,87268,0.465,11.2
28,217693,5.8,7,2.6,2,4,27,8,83429,122126,9,2,7,9,3,7,10,1,7,6,5,Other,Tier 2,Store,26-35,High,205555,0.406,17.6
28,92926,6.2,9,2.5,1,7,8,16,81177,19617,8,7,6,4,10,6,9,3,1,5,8,Male,Tier 2,Store,26-35,Medium,100794,0.805,20.4
41,224888,3.0,6,2.4,2,9,37,13,49294,103713,7,4,3,3,1,2,10,7,5,5,1,Male,Tier 2,Store,36-50,High,153007,0.322,17.0
70,235726,5.8,11,1.5,10,10,6,18,73565,139218,8,1,6,6,1,1,9,10,8,4,10,Male,Tier 1,Store,51+,High,212783,0.346,31.6
53,85400,8.4,7,2.6,6,7,0,1,30148,58440,4,1,7,1,1,7,5,10,5,3,1,Other,Tier 2,Store,51+,Medium,88588,0.34,29.8
57,114525,10.2,9,4.6,4,10,34,13,98395,98336,7,4,1,4,2,7,10,5,8,7,6,Female,Tier 1,Store,51+,Medium,196731,0.5,34.4
41,116164,8.0,14,2.4,7,5,46,8,23909,42179,3,1,5,2,10,9,1,3,5,6,8,Female,Tier 2,Store,36-50,Medium,66088,0.362,28.0
20,238457,5.4,12,4.1,2,1,33,4,68110,67109,5,2,6,9,6,7,1,10,4,9,9,Other,Tier 3,Store,18-25,High,135219,0.504,13.8
39,239174,8.5,4,6.0,1,1,8,14,10025,127299,2,9,1,7,10,2,7,2,8,3,1,Male,Tier 3,Store,36-50,High,137324,0.073,19.0
70,156774,7.8,9,1.4,5,9,25,5,38287,3848,8,8,5,9,9,4,7,10,6,9,2,Other,Tier 3,Online,51+,High,42135,0.909,29.6
19,121732,5.0,3,3.2,9,4,7,15,46394,22500,2,5,7,7,1,5,10,4,1,6,2,Female,Tier 2,Store,18-25,Medium,68894,0.673,23.0
41,30385,4.8,14,1.0,6,3,18,10,119035,18547,7,8,1,2,10,8,2,4,6,4,3,Other,Tier 2,Store,36-50,Low,137582,0.865,18.6
61,24336,5.7,12,2.3,6,5,25,8,44546,41489,8,6,2,2,10,6,4,2,2,3,8,Female,Tier 1,Store,51+,Low,86035,0.518,22.4
47,80421,3.9,14,5.7,1,7,45,11,10716,25969,6,0,2,8,4,6,4,10,8,2,3,Male,Tier 2,Store,36-50,Medium,36685,0.292,15.8
55,177297,5.4,11,3.3,1,7,9,7,132880,135540,4,1,4,9,5,6,1,10,3,4,8,Other,Tier 1,Store,51+,High,268420,0.495,18.8
19,51021,7.0,12,2.9,4,5,42,16,66778,89620,4,8,2,6,10,6,7,3,1,8,6,Male,Tier 3,Store,18-25,Medium,156398,0.427,23.0
77,149854,8.1,14,1.0,2,8,29,11,31420,31294,6,2,6,3,6,4,1,8,9,6,4,Female,Tier 2,Store,51+,Medium,62714,0.501,26.2
38,234949,5.2,8,1.7,3,5,39,0,65173,45371,8,7,2,9,10,9,5,2,7,9,6,Other,Tier 3,Store,36-50,High,110544,0.59,18.4
50,132369,8.8,3,1.4,6,10,35,7,10737,31314,9,6,6,7,1,9,4,4,6,8,9,Male,Tier 1,Online,36-50,Medium,42051,0.255,33.6
29,235702,7.3,3,1.2,10,4,30,0,13603,52812,6,5,1,1,3,6,7,4,10,2,3,Female,Tier 1,Store,26-35,High,66415,0.205,28.6
75,64111,7.4,3,3.6,1,6,7,12,48524,1669,3,9,5,9,10,9,1,8,9,2,2,Female,Tier 1,Online,51+,Medium,50193,0.967,21.8
39,104402,4.2,9,3.4,10,3,41,4,112987,126335,10,7,7,2,2,2,10,5,7,10,5,Female,Tier 2,Store,36-50,Medium,239322,0.472,21.4
78,134774,9.6,10,2.3,2,4,46,19,82204,119167,4,7,2,5,4,9,10,10,3,8,6,Male,Tier 2,Store,51+,Medium,201371,0.408,25.2
61,230657,7.1,14,1.8,4,8,12,4,35393,74710,5,9,2,7,5,10,5,10,5,7,7,Other,Tier 2,Store,51+,High,110103,0.321,26.2
42,57719,5.3,3,3.4,6,10,36,7,30975,72627,3,7,3,10,8,8,2,1,3,6,7,Female,Tier 1,Store,36-50,Medium,103602,0.299,26.6
66,242600,5.0,6,4.7,3,10,29,10,108742,123073,5,0,1,3,9,9,6,2,6,10,3,Female,Tier 3,Store,51+,High,231815,0.469,23.0
44,195109,5.4,11,3.8,9,3,14,19,129743,128262,8,6,2,9,7,3,7,10,3,10,4,Female,Tier 2,Store,36-50,High,258005,0.503,22.8
76,226175,4.0,14,2.6,10,10,34,7,7720,121589,4,7,7,3,6,10,5,9,7,5,6,Female,Tier 2,Store,51+,High,129309,0.06,28.0
59,140695,8.0,4,3.7,4,3,2,9,134176,148247,7,1,6,2,9,3,8,9,5,2,2,Other,Tier 1,Store,51+,Medium,282423,0.475,23.0
45,149585,4.2,14,3.8,7,6,28,4,28170,36288,1,3,6,10,8,10,10,7,7,4,8,Male,Tier 1,Store,36-50,Medium,64458,0.437,21.4
77,159407,6.6,2,2.7,5,8,23,19,73135,125311,7,5,6,3,7,8,10,7,5,1,10,Other,Tier 3,Store,51+,High,198446,0.369,26.2
33,190212,5.1,12,2.7,6,10,44,2,9795,144291,1,3,2,10,7,5,9,9,3,1,6,Male,Tier 1,Store,26-35,High,154086,0.064,26.2
32,119126,7.3,12,1.8,9,2,22,4,68655,62518,2,1,4,6,9,7,6,7,5,5,9,Female,Tier 2,Store,26-35,Medium,131173,0.523,25.6
79,226445,7.6,3,3.6,9,1,8,14,114331,37757,1,1,3,1,1,5,1,2,1,8,5,Other,Tier 1,Store,51+,High,152088,0.752,25.2
79,92658,4.7,5,2.3,6,10,1,13,13016,22135,3,1,5,4,7,8,7,7,1,6,5,Other,Tier 3,Store,51+,Medium,35151,0.37,25.4
64,180912,5.9,10,1.2,2,1,14,4,31116,55921,8,1,1,4,6,10,1,4,2,3,8,Other,Tier 3,Store,51+,High,87037,0.358,14.8
79,46007,3.1,4,1.3,9,7,31,1,126467,56756,8,6,5,5,2,10,2,7,1,1,7,Female,Tier 1,Store,51+,Low,183223,0.69,22.2
68,203019,9.4,5,2.4,2,2,17,6,126412,15024,7,8,2,10,7,10,3,6,7,3,7,Female,Tier 2,Hybrid,51+,High,141436,0.894,22.8
61,121833,8.1,13,1.3,2,9,28,6,139574,106040,7,9,7,2,2,8,7,9,2,8,6,Male,Tier 2,Store,51+,Medium,245614,0.568,27.2
72,133637,3.2,12,6.0,2,10,39,13,74782,66488,5,8,4,1,2,1,1,4,4,1,7,Other,Tier 1,Store,51+,Medium,141270,0.529,18.4
69,135721,4.3,11,3.1,7,4,2,14,108383,117518,10,5,3,9,9,6,6,4,5,8,7,Female,Tier 1,Store,51+,Medium,225901,0.48,19.6
74,108220,5.7,1,1.9,4,7,32,16,45068,102512,9,9,1,2,3,4,4,6,3,2,7,Other,Tier 1,Store,51+,Medium,147580,0.305,22.4
20,41393,6.1,4,2.7,8,5,6,8,5913,42042,1,2,3,8,9,1,4,10,5,5,3,Other,Tier 1,Store,18-25,Low,47955,0.123,25.2
54,72480,4.6,11,3.5,8,5,29,3,52392,93220,4,6,3,3,6,8,3,10,10,7,1,Other,Tier 1,Store,51+,Medium,145612,0.36,22.2
68,132243,3.7,10,2.8,1,7,26,15,133331,123696,6,7,3,8,4,5,7,9,2,7,1,Male,Tier 2,Store,51+,Medium,257027,0.519,15.4
24,103290,6.8,3,1.3,1,9,37,13,33872,73035,4,8,5,2,7,1,5,5,7,1,6,Other,Tier 2,Store,18-25,Medium,106907,0.317,23.6
38,232407,9.5,13,2.4,4,4,28,0,52668,123722,2,3,3,3,7,2,8,6,9,5,8,Male,Tier 3,Store,36-50,High,176390,0.299,27.0
26,119263,6.1,2,2.2,2,9,30,1,23421,955,2,4,6,4,4,7,8,2,5,5,8,Other,Tier 3,Online,26-35,Medium,24376,0.961,23.2
56,155179,5.4,7,1.9,3,9,0,12,52138,79761,2,0,2,10,3,10,1,7,9,3,4,Female,Tier 2,Store,51+,High,131899,0.395,22.8
35,20993,5.2,10,1.4,10,8,40,7,24961,12163,7,4,7,10,4,9,5,4,7,2,2,Male,Tier 1,Online,26-35,Low,37124,0.672,28.4
21,242413,3.8,9,3.6,2,1,42,8,112610,37711,5,9,6,9,6,6,4,3,4,4,10,Female,Tier 1,Store,18-25,High,150321,0.749,10.6
42,108650,4.7,1,3.1,10,10,26,9,103258,140980,2,6,2,3,7,10,6,1,5,3,9,Other,Tier 2,Store,36-50,Medium,244238,0.423,29.4
77,249397,8.3,12,3.1,9,9,26,19,10552,143281,9,1,6,4,4,4,7,1,7,10,1,Female,Tier 3,Store,51+,High,153833,0.069,34.6
31,132595,1.9,7,0.1,6,3,28,9,70970,20249,2,4,2,4,8,3,5,6,6,2,10,Male,Tier 1,Store,26-35,Medium,91219,0.778,12.8
67,67066,6.1,11,2.0,7,8,4,15,131931,84210,7,8,6,10,4,1,5,2,6,1,9,Female,Tier 2,Store,51+,Medium,216141,0.61,27.2
75,126850,6.1,12,4.1,6,5,2,8,63618,6736,1,2,7,3,10,4,9,9,8,4,4,Male,Tier 1,Store,51+,Medium,70354,0.904,23.2
26,57942,6.2,1,3.0,1,6,28,5,42865,74798,6,1,4,9,6,3,8,9,4,4,4,Male,Tier 3,Store,26-35,Medium,117663,0.364,19.4
43,31138,7.5,5,1.0,5,3,40,11,20700,93830,6,4,4,10,5,3,8,3,8,3,5,Other,Tier 2,Store,36-50,Low,114530,0.181,23.0
